DURAK_ADI,display_name
ATAŞEHİR MERKEZ TAKSİ,"Atatürk Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34758, Türkiye"
FERHATPAŞA MERKEZ TAKSİ,"Ferhatpaşa Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34888, Türkiye"
HAS TAKSİ,"Küçükbakkalköy Mahallesi, İstanbul, 34750, Türkiye"
İÇERENKÖY CARREFOR AVM TAKSİ,"İçerenköy Mahallesi, İstanbul, Marmara Bölgesi, 34752, Türkiye"
SOYAK SİTE TAKSİ,"Fetih Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, Türkiye"
TRENDİST TAKSİ,"Atatürk Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34758, Türkiye"
Kirazlı Merkez Taksi,"Kirazlı Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
212 TAKSİ,"Mahmutbey Mahallesi, İstanbul, Marmara Bölgesi, 34218, Türkiye"
217.SOKAK NO:1 T.ÖZAL BULVARI,"Çatalmeşe Mahallesi, Reşadiye, Çekmeköy, İstanbul, Marmara Bölgesi, Türkiye"
YILDIZ TAKSİ,"Abbasağa Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
GÜVEN TAKSİ -2-,"Duatepe Mahallesi, Şişli, İstanbul, Marmara Bölgesi, Türkiye"
AİLE TAKSİ,"Balmumcu Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34394, Türkiye"
ÇEVİK TAKSİ,"Balmumcu Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34394, Türkiye"
UMUMA AÇIK,"Atakent Mahallesi, İstanbul, Marmara Bölgesi, 34307, Türkiye"
Fulya Mehmetçik Taksi,"Fulya Mahallesi, Şişli, İstanbul, Marmara Bölgesi, 34346, Türkiye"
ULUS VADİ TAKSİ,"Ulus Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
MİDDİLİST TAKSİ DURAĞI,"Kaptanpaşa Mahallesi, Şişli, İstanbul, Marmara Bölgesi, 34385, Türkiye"
Özbal Taksi,"Fulya Mahallesi, Şişli, İstanbul, Marmara Bölgesi, 34346, Türkiye"
RASATHANE TAKSİ DURAĞI,"Küçüksu Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, Türkiye"
ESENTEPE DEDEMAN BEŞİKTAŞ TAKSİ,"Gayrettepe Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
ŞİŞLİ KAPTANPAŞA DARULACEZE YOLU,"Kaptanpaşa Mahallesi, Şişli, İstanbul, Marmara Bölgesi, 34385, Türkiye"
Mecidiyeköy Yolu Caddesi(trump kuleleri avm önü),"Kuştepe Mahallesi, Şişli, İstanbul, Marmara Bölgesi, Türkiye"
DİLAN TAKSİ-1,"Mecidiyeköy Mahallesi, Şişli, İstanbul, Marmara Bölgesi, 34387, Türkiye"
İstoç Taksi,"Mahmutbey Mahallesi, İstanbul, Marmara Bölgesi, 34218, Türkiye"
SİLİVRİ OTOGAR TAKSİ DURAĞI,"Alibey Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
DEPOSİTE(AVM) TAKSİ DURAĞI,"Organize Sanayi Bölgesi Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
KÜÇÜKKÖY ÖZ TAKSİ KOOP,"Yeni Mahalle, Gaziosmanpaşa, İstanbul, Marmara Bölgesi, 34250, Türkiye"
