DURAK_ADI,display_name
DOĞAN TAKSİ DURAĞI,"Etiler Mahallesi, İstanbul, Marmara Bölgesi, 34337, Türkiye"
GAR TAKSİ DURAĞI YENİ-2,"Doğu Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34890, Türkiye"
ACIBADEM YILDIZ TAKSİ,"Acıbadem Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34660, Türkiye"
ACIBADEM UMUMA AÇIK TAKSİ DURAĞI,"Küçük Çamlıca Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34694, Türkiye"
CUMHURİYET TAKSİ DURAĞI,"Mevlana Mahallesi, İstanbul, Marmara Bölgesi, 34515, Türkiye"
İSPARK Ragıp Gümüşpala Caddesi,"Rüstempaşa Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK - EMİNÖNÜ  PERONLAR UMUMA AÇIK TAKSİ DURAĞI,"Rüstempaşa Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
BEYLİKDÜZÜ İSTANBUL EVLERİ SİTESİ TAKSİ DURAĞI,"Piri Reis Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK NUH KUYUSU CAD.(ASLI BÖREK ÖNÜ),"Muratreis Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34664, Türkiye"
KAYA RAMADA OTEL TAKSİ,"Cumhuriyet Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, 34500, Türkiye"
İSPARK ALEMDAĞ ÜMRANİYE AVM ÖNÜ,"Yamanevler Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
Gardenya,"Bağlar Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, 34212, Türkiye"
İSPARK SU-İŞ CAD.TAKSİ,"Atatürk Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, 34764, Türkiye"
HİLAL TAKSİ,"Derviş Ali Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
GÜNEŞTEPE TAKSİ DURAĞI,"Güneştepe Mahallesi, Güngören, İstanbul, Marmara Bölgesi, Türkiye"
CİHANGİR TAKSİ DURAĞI,"Kılıçali Paşa Mahallesi, İstanbul, Marmara Bölgesi, 34427, Türkiye"
KARDİYUM TAŞDELEN TAKSİ,"Sultançiftliği Mahallesi, Çekmeköy, İstanbul, Marmara Bölgesi, Türkiye"
Akyol Taksi,"Cihangir Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
KUZGUNCUK TAKSİ,"Kuzguncuk Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34674, Türkiye"
AÇELYA TAKSİ,"Halkalı Merkez Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, 34303, Türkiye"
Aynalıkavak Taksi,"Keçeci Piri Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
BEŞİKTAŞ BARBAROS BULVARI,"Cihannüma Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34022, Türkiye"
MİSS TAKSİ,"Atakent Mahallesi, İstanbul, Marmara Bölgesi, 34307, Türkiye"
NİŞANTAŞI ÜNİVERSİTESİ SADABAD KAMPÜSÜ (HASBAHÇE PLUS) TAKSİ,"Nurtepe Mahallesi, Kağıthane, İstanbul, Marmara Bölgesi, Türkiye"
SOĞANLIK MERKEZ TAKSİ,"Gümüşpınar Mahallesi, Kartal, İstanbul, Marmara Bölgesi, 34880, Türkiye"
ÇIRAĞAN TAKSİ 2,"Yıldız Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, Türkiye"
ŞEHZADEBAŞI TAKSİ,"Kalenderhane Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34134, Türkiye"
AK TAKSİ,"Koza Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
ASLANTEPE TAKSİ,"Huzur Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye"
KARTAL BİRLİK TAKSİ,"Kordonboyu Mahallesi, İstanbul, Marmara Bölgesi, 34860, Türkiye"
ZORLU CENTER TAKSİ,"Levazım Mahallesi, İstanbul, Marmara Bölgesi, 3430, Türkiye"
MEGA 2 (ADLİYE ESKİ ADI) TAKSİ BAĞCILAR,"Mahmutbey Mahallesi, İstanbul, Marmara Bölgesi, 34218, Türkiye"
KADIKÖY METRO TAKSİ,"Caferağa Mahallesi, İstanbul, Marmara Bölgesi, 34710, Türkiye"
KAPTAN TAKSİ,"19 Mayıs Mahallesi, İstanbul, Marmara Bölgesi, 34736, Türkiye"
GEÇİT TAKSİ DURAĞI,"19 Mayıs Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
MEYDAN İSTANBUL AVM TAKSİ,"Fatih Sultan Mehmet Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
YUNUS EMRE TAKSİ,"Esenevler Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
İSTANBUL DERİ ORGANİZE SANAYİİ TAKSİ,"Orhanlı Mahallesi, İstanbul, Marmara Bölgesi, 34956, Türkiye"
CİTYS NİŞANTAŞI AVM TAKSİ,"Teşvikiye Mahallesi, Şişli, İstanbul, Marmara Bölgesi, 34365, Türkiye"
SULTANGAZİ DEVLET HASTANESİ TAKSİ,"Uğurmumcu Mahallesi, Cebeci Köyü, Sultangazi, İstanbul, Marmara Bölgesi, 34265, Türkiye"
Merkez Taksi durağı,"Piri Mehmet Paşa Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
USKUMRUKÖY DÖRTYOL TAKSİ,"Uskumruköy Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
İNÖNÜ MERKEZ TAKSİ,"İnönü Mahallesi, İstanbul, Türkiye"
SEBA OFİS BULVAR TAKSİ,"Ayazağa Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
KOZDERE TAKSİ,"Kazım Karabekir Paşa Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, Türkiye"
VADİSTANBUL Avm içi,"Ayazağa Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
ORUÇLAR TAKSİ,"Fenerbahçe Mahallesi, İstanbul, Marmara Bölgesi, 34726, Türkiye"
ERESİN OTEL TAKSİ,"Topkapı Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34093, Türkiye"
CROWN PLAZA HOTEL TAKSİ,"Balabanağa Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
VIALAND AVM İÇİ,"Yeşilpınar Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 34065, Türkiye"
HARAMİDERE GEÇİT TAKSİ 1,"Güzelyurt Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
TEKSTİLKENT KOZA PLAZA TAKSİ,"Oruçreis Mahallesi, Esenler, İstanbul, Marmara Bölgesi, 34235, Türkiye"
KOZA TAKSİ DURAĞI,"Aşık Veysel Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
VİLLA TAKSİ,"Mimar Sinan Mahallesi, Çekmeköy, İstanbul, Marmara Bölgesi, 34782, Türkiye"
ERGUVAN TAKSİ,"Kaleiçi Mahallesi, Çatalca, İstanbul, Marmara Bölgesi, 34540, Türkiye"
ALKENT TAKSİ,"Alkent 2000 Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, 34580, Türkiye"
ÇİÇEK TAKSİ,"Çubuklu Mahallesi, Beykoz, İstanbul, Marmara Bölgesi, Türkiye"
DERBENT KÜLTÜR TAKSİ,"Çamlıtepe Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
SİTE TAKSİ,"Akat Mahallesi, İstanbul, Marmara Bölgesi, 34335, Türkiye"
ALTAYÇEŞME TAKSİ-2,"Altayçeşme Mahallesi, İstanbul, Marmara Bölgesi, 34843, Türkiye"
ŞEN TAKSİ-2,"Kozyatağı Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34742, Türkiye"
STAR TAKSİ,"Erenköy Mahallesi, İstanbul, Marmara Bölgesi, 34738, Türkiye"
EVORA PARK SİTE TAKSİ,"Aydıntepe Mahallesi, Tuzla, İstanbul, Marmara Bölgesi, Türkiye"
KARADENİZ TAKSİ,"Eğitim Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
OYAK SİTESİ GÜL TAKSİ,"Huzur Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye"
SARAY TAKSİ,"Orhantepe Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
BEYAZIT MEYDAN TAKSİ,"Mimar Kemalettin Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
QUEEN BOMONTİ,"Cumhuriyet Mahallesi, Şişli, İstanbul, Marmara Bölgesi, 34380, Türkiye"
MEYDAN TAKSİ,"Üniversite Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, Türkiye"
İÇERENKÖY ANADOLU MERKEZ,"İçerenköy Mahallesi, İstanbul, Marmara Bölgesi, 34752, Türkiye"
ÇEMBERLİTAŞ MEYDAN TAKSİ,"Molla Fenari, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
YENİ LEVENT MERCAN TAKSİ,"Konaklar Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34330, Türkiye"
TAKSİM İLK YARDIM HASTANE TAKSİ,"Kuloğlu Mahallesi, İstanbul, Marmara Bölgesi, 34433, Türkiye"
MALL OF İSTANBUL TAKSİ,"Organize Sanayi Bölgesi Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
KANLICA TAKSİ DURAĞI,"Kanlıca Mahallesi, İstanbul, Marmara Bölgesi, 34819, Türkiye"
SAKLIKENT ORTAKÖY TAKSİ,"Levazım Mahallesi, İstanbul, Marmara Bölgesi, 3430, Türkiye"
ÖZ KÜLTÜR TAKSİ,"Bebek Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34342, Türkiye"
KARANFİL TAKSİ,"Akat Mahallesi, İstanbul, Marmara Bölgesi, 34335, Türkiye"
GÜNER TAKSİ,"Ambarlı Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, 34315, Türkiye"
İNCİRALTI TAKSİ,"Cihangir Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, 34310, Türkiye"
STEIGENBERGER TAKSİ,"Yenibosna Merkez Mahallesi, İstanbul, Marmara Bölgesi, 34197, Türkiye"
Öz Site 1 Taksi Durağı,"Yeni Mahalle, İstanbul, Marmara Bölgesi, Türkiye"
BÜYÜKÇEKMECE HASTANE TAKSİ,"Mimar Sinan Merkez Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
MİMARSİNAN BİRLİK TAKSİ,"Ekinoba Mahallesi, İstanbul, Marmara Bölgesi, 34535, Türkiye"
KARDEŞLER TAKSİ,"Yeşilkent Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
ROFO TAKSİ,"Hırka-i Şerif Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34091, Türkiye"
VENEZİA MEGA OUTLET TAKSİ,"Karadeniz Mahallesi, Gaziosmanpaşa, İstanbul, Marmara Bölgesi, Türkiye"
ÇINAR TAKSİ,"Atakent Mahallesi, İstanbul, Marmara Bölgesi, 34307, Türkiye"
ADATEPE TELSİZ TAKSİ,"Altayçeşme Mahallesi, İstanbul, Marmara Bölgesi, 34843, Türkiye"
MALTEPE 2574 ADA 53 PARSEL ÖNÜ,"Aydınevler Mahallesi, Maltepe, İstanbul, Marmara Bölgesi, 34854, Türkiye"
MALTEPE PARK AVM,"Cevizli Mahallesi, İstanbul, Marmara Bölgesi, 34846, Türkiye"
METRO TAKSİ,"Bağlar Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, 34212, Türkiye"
DOĞU SANAYİ TAKSİ-2,"Yenibosna Merkez Mahallesi, İstanbul, Marmara Bölgesi, 34197, Türkiye"
KUYUMCUKENT TAKSİ,"Yenibosna Merkez Mahallesi, İstanbul, Marmara Bölgesi, 34197, Türkiye"
ATAKENT TAKSİ 1,"Ataköy 7-8-9-10. Kısım Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34156, Türkiye"
SİTE TAKSİ DURAĞI,"Yeşilköy Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, Türkiye"
AĞAOĞLU İSTANBUL TAKSİ,"Ziya Gökalp Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK gençtürk cad.,"Kemalpaşa Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
HASEKİ HASTANE TAKSİ,"Haseki Sultan Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34107, Türkiye"
İSPARK ÜSKÜDAR ACIBADEM CADDESİ,"Acıbadem Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34718, Türkiye"
"İSPARK ÇENGELKÖY YOLU, BOSNA BULVARI","Bahçelievler Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34688, Türkiye"
TUZLA AYDINLI SİTE TAKSİ,"Aydınlı Mahallesi, Tuzla, İstanbul, Marmara Bölgesi, 34953, Türkiye"
EMNİYET TAKSİ,"Evliya Çelebi Mahallesi, Tuzla, İstanbul, Marmara Bölgesi, 34944, Türkiye"
ŞİŞLİ MERKEZ TAKSİ,"Merkez Mahallesi, Şişli, İstanbul, Marmara Bölgesi, 34381, Türkiye"
POLAT TOWER RESİDENCE TAKSİ,"Fulya Mahallesi, Şişli, İstanbul, Marmara Bölgesi, 34346, Türkiye"
MASLAK ÇARŞI TAKSİ,"Maslak Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye"
HİZMET TAKSİ,"Abdurrahmangazi Mahallesi, İstanbul, Marmara Bölgesi, 34887, Türkiye"
SANCAKTEPE HASTANE TAKSİ DURAĞI baraj yolu,"Emek Mahallesi, Sancaktepe, İstanbul, Marmara Bölgesi, Türkiye"
YENİŞEHİR MERKEZ TAKSİ,"Yenişehir Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
AYDINEVLER MERKEZ TAKSİ,"Aydınevler Mahallesi, Maltepe, İstanbul, Marmara Bölgesi, 34854, Türkiye"
DİVAN TAKSİ,"İstasyon Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
SOĞANLIK METRO DURAĞI,"Soğanlık Yeni Mahalle, Kartal, İstanbul, Marmara Bölgesi, Türkiye"
TİBAL TAKSİ,"Acıbadem Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34718, Türkiye"
TEPE NAUTİLUS TAKSİ,"Acıbadem Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34718, Türkiye"
OPTİMUM AVM ÖNÜ,"Yenisahra Mahallesi, İstanbul, Türkiye"
NUR TAKSİ,"Fenerbahçe Mahallesi, İstanbul, Marmara Bölgesi, 34726, Türkiye"
KIŞLA TAKSİ,"Havaalanı Mahallesi, Esenler, İstanbul, Marmara Bölgesi, 34230, Türkiye"
SKYLAND TAKSİ,"Huzur Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye"
BATIŞEHİR TAKSİ,"Göztepe Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
TAŞDELEN METRO,"Ekşioğlu Mahallesi, Çekmeköy, İstanbul, Marmara Bölgesi, Türkiye"
ANTPLATO TAKSİ,"Halkalı Merkez Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, 34303, Türkiye"
MERKEZ MEYDAN TAKSİ DURAĞI,"Mehmet Akif Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
CENGİZTOPEL TAKSİ DURAĞI,"Akşemsettin Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 34070, Türkiye"
26 TAKSİ DURAĞI,"50. Yıl Mahallesi, Cebeci Köyü, Sultangazi, İstanbul, Marmara Bölgesi, Türkiye"
METROPOL AVM TAKSİ-2,"Atatürk Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34758, Türkiye"
YAŞAM TAKSİ DURAĞI,"Cumhuriyet Mahallesi, Beylikdüzü, İstanbul, Marmara Bölgesi, 34520, Türkiye"
MANOLYA TAKSİ,"Soğanlık Yeni Mahalle, Kartal, İstanbul, Marmara Bölgesi, Türkiye"
CONCORD TAKSİ,"Dumlupınar Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, Türkiye"
ÖZ TAKSİ DURAĞI,"Kazlıçeşme Mahallesi, Zeytinburnu, İstanbul, Marmara Bölgesi, 34020, Türkiye"
5.Levent Taksi,"Güzeltepe Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, Türkiye"
DİNÇER TAKSİ,"Muratpaşa Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
SİNANOBA TAKSİ,"Mimaroba Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
OYA TAKSİ,"Gülbahar Mahallesi, Şişli, İstanbul, Marmara Bölgesi, Türkiye"
DİKİLİTAŞ MERKEZ TAKSİ,"Dikilitaş Mahallesi, İstanbul, Marmara Bölgesi, 34349, Türkiye"
Fatih Bulvarı 7784 ada 6 parsel önü,"Abdurrahmangazi Mahallesi, İstanbul, Marmara Bölgesi, 34920, Türkiye"
BİZİM TAKSİ,"Güzelce Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
VADİ TAKSİ,"Soğuksu Mahallesi, Beykoz, İstanbul, Marmara Bölgesi, Türkiye"
DURU TAKSİ DURAĞI,"Cevizli Mahallesi, İstanbul, Marmara Bölgesi, 34865, Türkiye"
İSTWEST MEYDAN TAKSİ,"Yenibosna Merkez Mahallesi, İstanbul, Marmara Bölgesi, 34197, Türkiye"
KARTAL STAD TAKSİ,"Karlıktepe Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
MARMARA EĞİTİM KÖYÜ,"Başıbüyük Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
ÖZ NİŞANTAŞI TAKSİ-2,"Meşrutiyet Mahallesi, Şişli, İstanbul, Marmara Bölgesi, 34363, Türkiye"
ÜNALAN 15 TEMMUZ ŞEHİTLER TAKSİ,"Ünalan Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34700, Türkiye"
DOĞANCILAR TAKSİ,"Ahmediye Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34672, Türkiye"
FİRUZE KONAKLARI TAKSİ DURAĞI,"Üniversite Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, Türkiye"
MİMAR SİNAN KİPTAŞ-2 TAKSİ,"Mimar Sinan Mahallesi, Tuzla, İstanbul, Marmara Bölgesi, Türkiye"
SAKIZAĞACI TAKSİ-1,"Şehit Muhtar Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
SANTRAL TAKSİ DURAĞI-2,"Erenköy Mahallesi, İstanbul, Marmara Bölgesi, 34738, Türkiye"
KARADENİZ TAKSİ,"Karadeniz Mahallesi, Gaziosmanpaşa, İstanbul, Marmara Bölgesi, Türkiye"
TOPAĞACI TAKSİ,"Teşvikiye Mahallesi, Şişli, İstanbul, Marmara Bölgesi, 34365, Türkiye"
İSPARK Fatih Bulvarı 8223 ada 3 parsel önü,"Mehmet Akif Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
ETİLER BİZİM TAKSİ (4),"Etiler Mahallesi, İstanbul, Marmara Bölgesi, 34337, Türkiye"
FUAR TAKSİ,"Cumhuriyet Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, 34500, Türkiye"
SİLAHŞÖR TAKSİ,"Cumhuriyet Mahallesi, Şişli, İstanbul, Marmara Bölgesi, 34380, Türkiye"
İSTMARİN AVM TAKSİ,"Kordonboyu Mahallesi, İstanbul, Marmara Bölgesi, 34860, Türkiye"
AVCILAR HOSPİTAL TAKSİ,"Üniversite Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, Türkiye"
SARIYER SİTE TAKSİ,"Maden Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
ADİL TAKSİ,"Adil Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
ÖZ VALİDE ÇEŞME TAKSİ,"Vişnezade Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 35357, Türkiye"
İAYO SANAYİ TAKSİ,"Aydınlı Mahallesi, Tuzla, İstanbul, Marmara Bölgesi, 34953, Türkiye"
YENİ MASLAK 42 TAKSİ,"Maslak Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34485, Türkiye"
BEYAZ REZİDANS,"Maltepe Mahallesi, Zeytinburnu, İstanbul, Marmara Bölgesi, 34010, Türkiye"
BOMONTİ HİLTON TAKSİ,"Merkez Mahallesi, Şişli, İstanbul, Marmara Bölgesi, 34381, Türkiye"
GÖKTÜRK MERKEZ TAKSİ-4,"Göktürk Merkez Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 34077, Türkiye"
AYAZMA TAKSİ,"Pınartepe Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
MARMARA TAKSİ,"Küçük Çamlıca Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34694, Türkiye"
THE İSTANBUL RESIDENCE TAKSİ,"Sümer Mahallesi, Zeytinburnu, İstanbul, Marmara Bölgesi, 34025, Türkiye"
BAHÇEŞEHİR TAKSİ,"Bahçeşehir 2. Kısım Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34488, Türkiye"
ALİBEYKÖY CEP OTOGARI ÖNÜ TAKSİ,"Güzeltepe Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, Türkiye"
NAMIK KEMAL ÇİFTE HAVUZLAR TAKSİ,"Çiftehavuzlar Mahallesi, Esenler, İstanbul, Marmara Bölgesi, Türkiye"
TRENDİST TAKSİ,"Atatürk Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34758, Türkiye"
BEYLİKDÜZÜ HASTANE TAKSİ,"Pınartepe Mahallesi, Büyükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
DORUK TAKSİ-1,"Yeşilpınar Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 34065, Türkiye"
EXSEN ELMALIKENT TAKSİ,"Elmalıkent Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
Huzur Taksi,"İnönü Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
BHT CLINIC TAKSİ,"Atakent Mahallesi, İstanbul, Marmara Bölgesi, 34307, Türkiye"
ÇEKMEKÖY MERKEZ TAKSİ DURAĞI,"Mimar Sinan Mahallesi, Çekmeköy, İstanbul, Marmara Bölgesi, 34782, Türkiye"
ZEYTİNBURNU DEMİRCİLER SİTE TAKSİ,"Seyitnizam Mahallesi, Zeytinburnu, İstanbul, Marmara Bölgesi, 34015, Türkiye"
Merdivenköy Taksi,"Merdivenköy Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34732, Türkiye"
CENNET YILDIZ TAKSİ,"Cennet Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
İSTİNYE PARK TAKSİ,"Pınar Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34460, Türkiye"
KANDİLLİ BOĞAZİÇİ TAKSİ,"Küçüksu Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, Türkiye"
ÇAMLICA KULE,"Küçük Çamlıca Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34694, Türkiye"
TURGUT REİS TAKSİ DURAĞI,"Turgut Reis Mahallesi, Esenler, İstanbul, Marmara Bölgesi, Türkiye"
SEKMEN TAKSİ-2,"Uğur Mumcu Mahallesi, Kartal, İstanbul, Marmara Bölgesi, 34882, Türkiye"
GÜLLÜBAĞLAR TAKSİ,"Esenler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34899, Türkiye"
GALATAPORT 2 TAKSİ,"Kılıçali Paşa Mahallesi, İstanbul, Marmara Bölgesi, 34427, Türkiye"
HİLAL TAKSİ-1,"Yeni Mahalle, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye"
PANGALTI MEYDAN TAKSİ,"Bozkurt Mahallesi, Şişli, İstanbul, Marmara Bölgesi, 34375, Türkiye"
GALATAPORT 1 TAKSİ,"Kılıçali Paşa Mahallesi, İstanbul, Marmara Bölgesi, 34427, Türkiye"
KİPTAŞ KONUTLARI TUNA TAKSİ,"İsmetpaşa Mahallesi, Bayrampaşa, İstanbul, Marmara Bölgesi, Türkiye"
OTOGAR TAKSİ,"Altıntepsi Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
EGM TAKSİ DURAĞI TAŞIMACILIK TURİZM LOJİSTİK LİMİTED ŞİRKETİ,"Şenlik Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34153, Türkiye"
PELİKAN MALL TAKSİ,"Üniversite Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, Türkiye"
KUŞDİLİ UMUMA AÇIK TAKSİ DURAK YERİ,"Osmanağa Mahallesi, İstanbul, Marmara Bölgesi, 34714, Türkiye"
BİZİM TAKSİ,"Başak Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34480, Türkiye"
SÖĞÜTLÜ ÇEŞME UMUMA AÇIK TAKSİ DURAĞI,"Hasanpaşa Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34772, Türkiye"
