ISTASYON,PROJE_ADI,PROJE_ASAMA,HAT_TURU,MUDURLUK,display_name
Arnavutköy - 1,M11 Halkalı - İstanbul Havalimanı Metro Hattı,İnşaat Aşamasında,Metro,AYGM,"Arnavutköy Merkez Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Mimar Sinan,M1B (U2) Kirazlı - Halkalı Metro Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Bağlar Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, 34212, Türkiye"
Onurkent,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Başakşehir Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34480, Türkiye"
Şehir Hastanesi,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Başakşehir Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34480, Türkiye"
Toplu Konutlar,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Kayabaşı Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34494, Türkiye"
Kayaşehir Merkez,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Kayabaşı Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34494, Türkiye"
Göztepe 60. Yıl Parkı,M12 Göztepe-Ümraniye Metro Hattı,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Caddebostan Mahallesi, İstanbul, Marmara Bölgesi, 34728, Türkiye"
Çarşı,M12 Göztepe-Ümraniye Metro Hattı,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Yamanevler Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
Atakent,M12 Göztepe-Ümraniye Metro Hattı,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"İstiklal Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
Yeni Sahra,M12 Göztepe-Ümraniye Metro Hattı,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Barbaros Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34746, Türkiye"
Finans Merkezi,M12 Göztepe-Ümraniye Metro Hattı,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Finanskent Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
Sahrayıcedit,M12 Göztepe-Ümraniye Metro Hattı,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Sahrayıcedit Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
SBÜ Hastanesi,M12 Göztepe-Ümraniye Metro Hattı,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"İnkılap Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
Site,M12 Göztepe-Ümraniye Metro Hattı,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Site Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
Ataşehir,M12 Göztepe-Ümraniye Metro Hattı,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Barbaros Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34746, Türkiye"
Göztepe,M12 Göztepe-Ümraniye Metro Hattı,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Göztepe Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, Türkiye"
Kazım Karabekir,M12 Göztepe-Ümraniye Metro Hattı,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Elmalıkent Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
Bölge Parkı,M7 (U3) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Mahmutbey Mahallesi, İstanbul, Marmara Bölgesi, 34218, Türkiye"
Feshane,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Nişancı Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 34050, Türkiye"
