ISTASYON,PROJE_ADI,PROJE_ASAMA,HAT_TURU,MUDURLUK,display_name
Atalar,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Atalar Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Çağlayan,M7 Yıldız - Mahmutbey Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Hürriyet Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Dudullu,M5 Üsküdar - Çekmeköy Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Yukarı Dudullu Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, 34775, Türkiye"
Havaalanı,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Yeşilköy Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, Türkiye"
Taksim,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Gümüşsuyu Mahallesi, İstanbul, Marmara Bölgesi, 34437, Türkiye"
Zeytinburnu,T1 Kabataş - Bağcılar Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Osmaniye Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34146, Türkiye"
Güneştepe,T1 Kabataş - Bağcılar Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Güneştepe Mahallesi, Güngören, İstanbul, Marmara Bölgesi, Türkiye"
Esenler,M1B Yenikapı - Kirazlı Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Yavuz Selim Mahallesi, Esenler, İstanbul, Marmara Bölgesi, Türkiye"
Gülsuyu,M4 Kadıköy - SGH Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Cevizli Mahallesi, İstanbul, Marmara Bölgesi, 34846, Türkiye"
Fındıkzade,T1 Kabataş - Bağcılar Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Molla Gürani Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
Balat,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Ayvansaray Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34087, Türkiye"
Metris,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Oruçreis Mahallesi, Esenler, İstanbul, Marmara Bölgesi, 34235, Türkiye"
Acıbadem,M4 Kadıköy - SGH Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Acıbadem Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34718, Türkiye"
Ayrılık Çeşmesi,M4 Kadıköy - SGH Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Acıbadem Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34718, Türkiye"
Rumeli Hisarüstü,M6 Levent - Boğaziçi Ünv./Hisarüstü Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Rumeli Hisarı Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
İkitelli Sanayi,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Organize Sanayi Bölgesi Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Başakşehir - Metrokent,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Başak Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34480, Türkiye"
Küçükyalı,M4 Kadıköy - SGH Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Çınar Mahallesi, İstanbul, Marmara Bölgesi, 34841, Türkiye"
Sultançifliği,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Cebeci Mahallesi, Sultangazi, İstanbul, Marmara Bölgesi, Türkiye"
Şişhane - Zemin İstanbul,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,
Kadıköy,M4 Kadıköy - SGH Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Caferağa Mahallesi, İstanbul, Marmara Bölgesi, 34710, Türkiye"
Şişli,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Merkez Mahallesi, Şişli, İstanbul, Marmara Bölgesi, 34381, Türkiye"
Necip Fazıl,M5 Üsküdar - Çekmeköy Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Necip Fazıl Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
Kartal,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Çavuşoğlu Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Söğütlüçeşme,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Mevcut Hattaki İstasyon,Banliyö,Ulaştırma Bakanlığı,"Zühtüpaşa Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, Türkiye"
Yeşilpınar,M7 Yıldız - Mahmutbey Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Yeşilpınar Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 34065, Türkiye"
İmam Hatip,M5 Üsküdar - Çekmeköy Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Adem Yavuz Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
